case_number,file_date,status,type_desc,sub_type,style,deceased_name,parties,events,scraped_address
FRCL-2025-3339,2025-05-01,2025-07-01,,,,,,,"LOT 1, BLOCK 6, OF RAINTREE VILLAGE SEC"
FRCL-2025-3353,2025-05-01,2025-06-03,,,,,,,"LOT TEN (10), IN BL"
FRCL-2025-3677,2025-05-12,2025-06-03,,,,,,,".ThefReal Prope: ents, and personal property"
FRCL-2025-3664,2025-05-12,2025-06-03,,,,,,,"LOT FIVE (5), SIX (), AND ELEVEN (11), AND THE EAST 2 OF LOT TWELVE (12),"
FRCL-2025-3388,2025-05-01,2025-06-03,,,,,,,"of Property to be Sold: LOT BLOCK 27, OF LAKEWOOD FOREST SUBDIVISION"
FRCL-2025-3407,2025-05-01,2025-06-03,,,,,,,"LOT ONE (1), IN BLOCK ONE (1), OF ROSE STREET ADDITION, A SUBDIVISION"
FRCL-2025-3413,2025-05-01,2025-07-01,,,,,,,LOT TEN (10) IN BLOCK TWENTY-FOUR (24) OF
FRCL-2025-3502,2025-05-08,2025-06-03,,,,,,,"LOT TEN (10), IN BLOCK ONE (1), OF UNIVERSITY GREEN, SEC FIVE (5), A SI"
FRCL-2025-3510,2025-05-08,2025-06-03,,,,,,,contained in
FRCL-2025-3517,2025-05-08,2025-06-03,,,,,,,"LOT FIFTEEN (15), BLOCK ELEVEN (1 BREST, SECTION TWO (2), AN ADDITION IN HARRIS COUNTY, TEXAS,"
FRCL-2025-3518,2025-05-08,2025-06-03,,,,,,,"LOTS TWENTY-FIVE (25) AND TWENTY-SIX (26), IN BLOCK ONE HUNDRED SEVENTY-FOUR (174), OF CENTRAL PARK, A"
FRCL-2025-3519,2025-05-08,2025-06-03,,,,,,,"LOT THIRTY (30) IN BLOCK ONE (1) OFS By SECTION ONE (1), A SUBDIVISION IN HARRIS COUNTY, TEXAS,"
FRCL-2025-3520,2025-05-08,2025-06-03,,,,,,,"LOT SEVEN (7), IN BI EIGHT (48), oF SHOREACRES, AN ADDITION IN HARRIS COUNTY, TEXAS, ACCORDING TO"
FRCL-2025-3525,2025-05-08,2025-06-03,,,,,,,"Lot FORTY-TWO (42), in Block ONE (1), of ELDRIDGE TRACE,"
FRCL-2025-3528,2025-05-08,2025-07-01,,,,,,,"of Property to be Sold: LOT 2, IN BLOCK 13, OF xxl “CO"
FRCL-2025-3530,2025-05-08,2025-07-01,,,,,,,of Property to be Sold:
FRCL-2025-3536,2025-05-08,2025-08-05,,,,,,,as per the Deed of Trust: S
FRCL-2025-3548,2025-05-08,2025-07-01,,,,,,,"LOT 14, IN BLOCK 15, OF NO! ‘ON Hi TS, A SUBDIVISION IN HARRIS"
FRCL-2025-3603,2025-05-12,2025-06-03,,,,,,,"): LOT NINE (9), BLOCK ONE (1), OF SPRING"
FRCL-2025-3605,2025-05-12,2025-06-03,,,,,,,UNOFE eee y
FRCL-2025-3606,2025-05-12,2025-06-03,,,,,,,FORECLOSURE SALE:
FRCL-2025-3613,2025-05-12,2025-07-01,,,,,,,"LOT TEN (10), BLOCK TWO F NEWPORT, SECTION TEN (10), AN ADDITION IN HARRIS"
FRCL-2025-3618,2025-05-12,2025-08-05,,,,,,,"LOT THIRTY-SIX (36), IN BLOCK ONE (1), AR"
FRCL-2025-3671,2025-05-12,2025-06-03,,,,,,,"Th al Proper ents, and personal property"
FRCL-2025-3675,2025-05-12,2025-06-03,,,,,,,"‘al Proj cmprovements, and"
