case_number,file_date,status,type_desc,sub_type,style,deceased_name,parties,events,scraped_address
FRCL-2025-3342,2025-05-01,2025-06-03,,,,,,,"Property Description: Lot 726, Block 26, Home Owned Estates Section Two, a Subdivision in Harris

County, Texas, according to the Map or Plat thereof recorded. in Volume 30,
Page 27 of the Map and/or Plat Records of Harris County, Texas."
FRCL-2025-3336,2025-05-01,2025-06-03,,,,,,,"Legal Description: LOT 56, BLOCK 11, NORTHVIEW WEST, SECTION 2, A SUBDIVISION IN HARRIS COUNTY, TEXAS, ACCORDING TO THE MAP
PLAT THEREOF RECORDED IN VOLUME 327, PAGE 1, OF THE MAP RECORDS OF HARRIS COUNTY, TEXAS.

In ‘accordance | with Tex, Prop. Cone §51 9076 and the ‘Deed of T Trust referenced above, the ne undersigned us attocney for Mortgage ¢ or Mortgage Servicer does hereby"
FRCL-2025-3338,2025-05-01,2025-06-03,,,,,,,"OR PLAT THEREOF, RECORDED UNDER FILM CODE NO, 598162 OF THE MAP RECORDS OF HARRIS COUNTY, TEXAS."
